Model,Mean F1,Std F1,Median F1,Min F1,Max F1,N Relations
SBERT,0.7097243649229736,0.1882439407378887,0.6609180397354915,0.4974150820278581,0.9892583427620458,36
CLIP Text,0.589110878781359,0.13946355453112075,0.49831791670818754,0.492868453910743,0.9814817622759058,36
CLIP Image,0.4933480968432705,0.006008852332882821,0.4949694088742478,0.4694666933844789,0.4983343045853408,36
CLIP Concat,0.5137799604919603,0.07710845684606846,0.4961951614761041,0.484119947856812,0.901715402326189,36
